Frequency (Hz)	Level (dB)
1156.063843	-41.738686
1157.409668	-41.536545
1158.755493	-42.947571
1160.101318	-42.691025
1161.447144	-41.377254
1162.792969	-42.031796
1164.138794	-42.817173
1165.484619	-42.351639
1166.830444	-41.884747
1168.176270	-42.034523
1169.522095	-42.864281
1170.867920	-42.716709
1172.213745	-41.833424
1173.559570	-41.521141
1174.905396	-42.072239
1176.251221	-42.614464
1177.597046	-41.883663
1178.942871	-41.312309
1180.288696	-41.749401
1181.634521	-42.336536
1182.980347	-42.004440
1184.326172	-42.400291
1185.671997	-42.136772
1187.017822	-42.639065
1188.363647	-42.221695
1189.709473	-41.318256
1191.055298	-41.441624
1192.401123	-42.219646
1193.746948	-42.023506
1195.092773	-42.176437
1196.438599	-42.621166
1197.784424	-41.309937
1199.130249	-41.403206
1200.476074	-42.465405
1201.821899	-42.632362
1203.167725	-41.723854
1204.513550	-41.074528
1205.859375	-41.562328
1207.205200	-42.798527
1208.551025	-41.301697
1209.896851	-41.865257
1211.242676	-42.499386
1212.588501	-40.827156
1213.934326	-41.596458
1215.280151	-42.368008
1216.625977	-41.737751
1217.971802	-41.515797
1219.317627	-42.868248
1220.663452	-42.402599
1222.009277	-42.471699
1223.355103	-42.167564
1224.700928	-43.668968
1226.046753	-43.005840
1227.392578	-41.386677
1228.738403	-42.265205
1230.084229	-43.342514
1231.430054	-42.242722
1232.775879	-41.690094
1234.121704	-42.526691
1235.467529	-41.999493
1236.813354	-41.367020
1238.159180	-41.418751
1239.505005	-43.123367
1240.850830	-43.030800
1242.196655	-42.167152
1243.542480	-43.353924
1244.888306	-44.762344
1246.234131	-42.898407
1247.579956	-43.329411
1248.925781	-41.251137
1250.271606	-42.633327
1251.617432	-41.721291
1252.963257	-41.894337
1254.309082	-43.040600
1255.654907	-42.744717
1257.000732	-42.575871
1258.346558	-42.617203
1259.692383	-42.855759
1261.038208	-43.159218
1262.384033	-43.136421
1263.729858	-43.239742
1265.075684	-41.803677
1266.421509	-40.852295
1267.767334	-43.199089
1269.113159	-42.563915
1270.458984	-40.426437
1271.804810	-40.705276
1273.150635	-41.954422
1274.496460	-41.518272
1275.842285	-42.149776
1277.188110	-42.534931
1278.533936	-42.126957
1279.879761	-42.810253
1281.225586	-42.623638
1282.571411	-42.218475
1283.917236	-42.607792
1285.263062	-42.393288
1286.608887	-41.760693
1287.954712	-41.663788
1289.300537	-42.109257
1290.646362	-42.002316
1291.992188	-43.205910
1293.338013	-41.581779
1294.683838	-41.764603
1296.029663	-42.511024
1297.375488	-41.669205
1298.721313	-41.231457
1300.067139	-41.051952
1301.412964	-41.640186
1302.758789	-41.628319
1304.104614	-41.989071
1305.450439	-43.277748
1306.796265	-43.149002
1308.142090	-42.829189
1309.487915	-43.378143
1310.833740	-42.999161
1312.179565	-41.479362
1313.525391	-41.358864
1314.871216	-41.907726
1316.217041	-42.122875
1317.562866	-42.358452
1318.908691	-42.019379
1320.254517	-41.682610
1321.600342	-41.361633
1322.946167	-41.896622
1324.291992	-42.733906
1325.637817	-42.471958
1326.983643	-41.960442
1328.329468	-40.960648
1329.675293	-41.476650
1331.021118	-43.218929
1332.366943	-43.918381
1333.712769	-43.851376
1335.058594	-42.859249
1336.404419	-42.295998
1337.750244	-42.627373
1339.096069	-42.392292
1340.441895	-42.091976
1341.787720	-42.817112
1343.133545	-42.289879
1344.479370	-42.045830
1345.825195	-42.246338
1347.171021	-41.082870
1348.516846	-41.066799
1349.862671	-42.393116
1351.208496	-41.874516
1352.554321	-42.305092
1353.900146	-42.179436
1355.245972	-42.386864
1356.591797	-43.086575
1357.937622	-42.028252
1359.283447	-41.818409
1360.629272	-41.347820
1361.975098	-41.872383
1363.320923	-43.116329
1364.666748	-43.143482
1366.012573	-42.544540
1367.358398	-41.968670
1368.704224	-42.171223
1370.050049	-42.930794
1371.395874	-42.495399
1372.741699	-42.879745
1374.087524	-41.855045
1375.433350	-43.200157
1376.779175	-43.464870
1378.125000	-42.563507
1379.470825	-41.545254
1380.816650	-41.046841
1382.162476	-43.129440
1383.508301	-42.901863
1384.854126	-43.144154
1386.199951	-42.876564
1387.545776	-42.477150
1388.891602	-41.931461
1390.237427	-41.876423
1391.583252	-42.491974
1392.929077	-41.615337
1394.274902	-40.966106
1395.620728	-41.862804
1396.966553	-42.364651
1398.312378	-42.078171
1399.658203	-42.328327
1401.004028	-41.627934
1402.349854	-42.433483
1403.695679	-42.306492
1405.041504	-42.577343
1406.387329	-42.094074
1407.733154	-42.833206
1409.078979	-43.779861
1410.424805	-43.240459
1411.770630	-41.962219
1413.116455	-41.730240
1414.462280	-41.616928
1415.808105	-41.406719
1417.153931	-42.913151
1418.499756	-43.290405
1419.845581	-42.970280
1421.191406	-41.790882
1422.537231	-42.926510
1423.883057	-43.769249
1425.228882	-42.816692
1426.574707	-41.827435
1427.920532	-42.250874
1429.266357	-42.819538
1430.612183	-41.361897
1431.958008	-42.283875
1433.303833	-42.130428
1434.649658	-42.091221
1435.995483	-42.845104
1437.341309	-41.612923
1438.687134	-42.410450
1440.032959	-41.944496
1441.378784	-41.458118
1442.724609	-40.649086
1444.070435	-41.906059
1445.416260	-42.409710
1446.762085	-42.753937
1448.107910	-42.118435
1449.453735	-43.064281
1450.799561	-43.540749
1452.145386	-42.897793
1453.491211	-42.306614
1454.837036	-43.229530
1456.182861	-42.852844
1457.528687	-42.976917
1458.874512	-42.824429
1460.220337	-42.823822
1461.566162	-43.000435
1462.911987	-42.614120
1464.257812	-43.595997
1465.603638	-42.924671
1466.949463	-42.231495
1468.295288	-42.322113
1469.641113	-42.901291
1470.986938	-43.059788
1472.332764	-42.540874
1473.678589	-41.636734
1475.024414	-41.769051
1476.370239	-42.735695
1477.716064	-42.956032
1479.061890	-43.454262
1480.407715	-42.816181
1481.753540	-42.360916
1483.099365	-41.832355
1484.445190	-41.230629
1485.791016	-41.741882
1487.136841	-40.945042
1488.482666	-42.626675
1489.828491	-42.722412
1491.174316	-41.993191
1492.520142	-42.011093
1493.865967	-42.441288
1495.211792	-41.601868
1496.557617	-42.099297
